algorithm,num_agents,seed,isr,success,reached,makespan,flowtime,detour_ratio,runtime,collisions,deadlocks_detected,deadlocks_resolved,resolution_rate,agents_replanned,memory_mb,initial_planning_time,wfg_update_time,detection_time,resolution_time,map_id,map_type,map_size
drimaps,80,42,0.2125,False,17,186,614,2.0784,3.5013,0,396,396,1.0,619,47.56,0.0539,0.1927,0.0231,0.4752,dense_random,dense_random,32x32
drimaps_no_cycle,80,42,0.125,False,10,64,172,1.0939,3.2608,0,189,189,1.0,192,47.56,0.0549,0.2142,0.0017,0.276,dense_random,dense_random,32x32
drimaps_no_classify,80,42,0.1625,False,13,192,569,2.1707,3.4274,0,323,323,1.0,620,47.56,0.062,0.2095,0.0225,0.3613,dense_random,dense_random,32x32
drimaps_no_minimal,80,42,0.175,False,14,122,568,2.6886,3.9795,0,513,513,1.0,1575,47.56,0.0528,0.2013,0.0227,0.9546,dense_random,dense_random,32x32
drimaps,60,123,0.3167,False,19,74,644,1.7167,0.9193,0,233,233,1.0,321,47.56,0.0446,0.082,0.0135,0.2507,dense_random,dense_random,32x32
drimaps_no_cycle,60,123,0.0833,False,5,25,70,1.0,0.7575,0,67,67,1.0,67,47.56,0.0367,0.116,0.001,0.097,dense_random,dense_random,32x32
drimaps_no_classify,60,123,0.4833,False,29,214,2346,3.1393,0.8828,0,234,234,1.0,312,47.56,0.0377,0.0784,0.014,0.2251,dense_random,dense_random,32x32
drimaps_no_minimal,60,123,0.1333,False,8,74,195,1.1687,1.6107,0,422,422,1.0,1248,47.56,0.0445,0.1271,0.0199,0.8356,dense_random,dense_random,32x32
drimaps,80,123,0.3625,False,29,116,1508,2.7203,1.4914,0,366,366,1.0,507,47.56,0.0485,0.1353,0.0181,0.3484,dense_random,dense_random,32x32
drimaps_no_cycle,80,123,0.1,False,8,23,110,1.1513,1.2871,0,94,93,0.9894,103,47.56,0.0447,0.1894,0.0012,0.1313,dense_random,dense_random,32x32
drimaps_no_classify,80,123,0.225,False,18,196,1109,4.008,1.4438,0,358,358,1.0,501,47.56,0.0438,0.1734,0.022,0.2945,dense_random,dense_random,32x32
drimaps_no_minimal,80,123,0.25,False,20,113,916,2.4016,1.8722,0,481,481,1.0,1410,47.56,0.0436,0.1585,0.0203,0.712,dense_random,dense_random,32x32
drimaps,60,456,0.35,False,21,135,850,1.8645,1.1272,0,211,211,1.0,328,47.56,0.0373,0.0933,0.0175,0.3115,dense_random,dense_random,32x32
drimaps_no_cycle,60,456,0.1667,False,10,25,107,1.0,0.8859,0,41,41,1.0,77,47.56,0.0373,0.1167,0.0012,0.1026,dense_random,dense_random,32x32
drimaps_no_classify,60,456,0.3,False,18,187,814,2.2362,1.1168,0,287,287,1.0,473,47.56,0.0372,0.1011,0.0177,0.3353,dense_random,dense_random,32x32
drimaps_no_minimal,60,456,0.2,False,12,25,142,1.045,1.7466,0,363,363,1.0,1326,47.56,0.042,0.111,0.0194,0.9311,dense_random,dense_random,32x32
drimaps,80,456,0.225,False,18,96,758,2.8244,1.5742,0,331,331,1.0,491,47.56,0.0507,0.1953,0.0251,0.4328,dense_random,dense_random,32x32
drimaps_no_cycle,80,456,0.075,False,6,14,56,1.5,1.3661,0,140,140,1.0,141,47.56,0.0524,0.2407,0.0015,0.1928,dense_random,dense_random,32x32
